chirp_mass mass_ratio chi_1 chi_2 luminosity_distance dec ra psi phase geocent_time theta_jn
1.1973548830982907 0.798289804875994 0.013025793364245586 -0.030474917234874048 33.79087946047522 -0.26864544257278355 3.400814969852362 2.0268616796672445 5.788987980988675 1187008882.431363 2.365977837202543
1.1974258122073673 0.9247942764915225 -0.0157664956606538 -0.00188790114120517 48.28702747215722 -0.2878986986719831 3.372781313491885 2.6846582905612473 0.36674472393705065 1187008882.4313421 2.942575011194817
1.1974080785510217 0.6207904688851745 0.018961451415190844 0.026660773330146062 34.67859236086087 -0.41535867612451677 3.4675935132091036 1.294172839055481 4.760712520108403 1187008882.4291694 2.3362350470521727
1.1976110933491826 0.6832241674394881 0.04549948476966194 -0.014858105445207409 46.17629245601434 -0.40397071338711005 3.4562710270126296 0.3264967927843634 4.360392394219827 1187008882.4300492 2.7690973586788585
1.1973167051856273 0.9685739715062607 0.04161924543903227 -0.06949350643141687 43.32122579484527 -0.38303644686829497 3.435458559134275 1.18441987835538 4.774078475297171 1187008882.4302135 2.9874939367190243
1.1976309956212134 0.8194331872995879 0.012749099595599556 0.0008767848557497682 35.23356303444016 -0.39409578045235116 3.4538239242159086 1.1418069841762173 5.4729301189388275 1187008882.4303548 2.3358401677389975
1.1975596429983173 0.6129881849308634 0.05431069777828451 -0.013979412529142497 34.66088660620232 -0.3441484066535683 3.443786479787244 2.581899515486816 0.2753694277994668 1187008882.4302793 2.2546855997419306
1.1973930394681285 0.7967286928142383 -0.05376080430066444 0.06262375513778415 43.06622983751028 -0.37332751458176777 3.4373088963553875 0.5126561099842621 4.320206209704049 1187008882.430148 2.511839174054206
1.197533524328732 0.7091483822578649 -0.011422767540273375 0.04721362326611027 36.97847211539719 -0.3430261675766479 3.435612939085801 3.018840300198365 4.0436512436655665 1187008882.430371 2.6459594796476833
1.1976242975794302 0.7629816466300531 -0.020234727951318726 0.05323906513443272 43.14567913980033 -0.38028261260393226 3.463022786246458 2.2768956439923542 0.47099488623388575 1187008882.4302912 2.863166712811163
1.1974961043837438 0.7885088081536853 0.02162215271811771 -0.021761389241802258 35.16573251785475 -0.3747271810685961 3.447232398035336 2.483970810250385 0.20664934156213227 1187008882.4303195 2.2164676118580178
1.197364961779683 0.9337010895883597 -0.025399249206364355 0.002252883188743171 46.73394734577072 -0.31391054151054715 3.3808152271275507 2.1988713057627294 6.059073889938562 1187008882.43123 3.0048791103922268
1.197484482176288 0.7143468799235899 -0.009498499080494105 0.029894188319849413 40.33377811729765 -0.3651282897377212 3.410078723248158 0.9690378781051951 5.184755297799312 1187008882.4301765 2.642089691479595
1.1976109585666592 0.6992585288388097 -0.005224045540655239 0.05593518510293655 42.47007209497499 -0.4133708789554692 3.4608554541821896 0.29240744881102765 1.4012376638318933 1187008882.430112 2.830654184621403
1.1974081303364745 0.8431441962284801 -0.008903959136050056 -0.0027047764813135228 30.850891164653074 -0.5587013637206917 3.526549291888009 1.494283595513264 2.199074193706644 1187008882.428366 2.250855363465896
1.1973454497893286 0.6891100735662429 0.04825278555586271 -0.05855885756694791 30.372024679039676 -0.32246175464796817 3.382329815525107 0.8949591388132209 1.2566129576352318 1187008882.4308856 2.209603367525917
1.1974988433869387 0.8675879280012744 0.05724292951062651 -0.06961563968077394 43.38017996020909 -0.45524560678339765 3.4811608193395727 0.40582373694084434 1.252785260453971 1187008882.4297183 2.7391542163098443
